schlcode	c_size	c_boys	c_girls	c_numcl	c_pik	c_status	c_leom	c_tip	c_num5rd	c_type	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5	towncode	townname	popcode	tip_a	grade	classid	classize	_type_	_freq_	cohsize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	studchk	misskov2	missagg	nmiss_k	nmiss_a	classct	math_n	flmath_n	nmath_n	verb_n	flverb_n	nverb_n	impute	nverb_m	nmath_m	tip_s	townid	tipuach
11227	114	55	59	22	1	1	1	"1"	4	3	12.12	79	99	20.2	67	99	37309	"ÅÄÜ öíÅÇ"	11	0	5	2	34	0	3	102	33	68.82	18.2	33	78.39	15.2	1	0	0	1	0	3	67.79797	18.78125	64	79.84312	10.98594	64	0			2	37309	0
11227	114	55	59	22	1	1	1	"1"	4	3	12.12	79	99	20.2	67	99	37309	"ÅÄÜ öíÅÇ"	11	0	5	3	35	0	3	102	35	65.54086	22.79428	35	77.45828	14.19371		1	0	1	0	3	67.79797	18.78125	64	79.84312	10.98594	64	1	35	35	2	37309	0
11228	39	18	21	11	2	1	1	"2"	1	1	16.67	73	36	22.22	68	36	30007	"çâåôÖòâ"	12	19	5	1	39	0	1	39	36	68.03	22.2	36	73.11	16.7	1	0	0	0	0	1	68.03	22.2	36	73.11	16.7	36	0			19	30007	19
11233	53	30	23	17	2	2	1	""	2	2	21.74	75	46	41.3	63	46	26104	"ôéô öâÅ"	12	11	5	1	28	0	2	53	25	64.08	36	25	76.4	24	1	0	0	0	0	2	62.62826	41.29565	46	74.89348	21.71739	46	0			11	26104	11
11233	53	30	23	17	2	2	1	""	2	2	21.74	75	46	41.3	63	46	26104	"ôéô öâÅ"	12	11	5	2	25	0	2	53	21	60.9	47.6	21	73.1	19	1	0	0	0	0	2	62.62826	41.29565	46	74.89348	21.71739	46	0			11	26104	11
11234	214	109	105	20	1	2	1	""	7	6								""			5	1	34	0	5	170	37	65.54	21.6	37	74.11	18.9	1	0	1	1	5	5	69.30566	16.662	150	75.99451	18.53444	151	0			10	10157	10
11234	214	109	105	20	1	2	1	""	7	6								""			5	3	34	0	5	170	39	72.79	17.9	39	75	25.6	1	0	1	1	5	5	69.30566	16.662	150	75.99451	18.53444	151	0			10	10157	10
11234	214	109	105	20	1	2	1	""	7	6								""			5	4	34	0	5	170	36	65.47	13.9	35	78.06	8.6	1	0	1	1	5	5	69.30566	16.662	150	75.99451	18.53444	151	0			10	10157	10
11234	214	109	105	20	1	2	1	""	7	6								""			5	5	34	0	5	170	38	73.03	13.2	40	76.9	20	1	0	1	1	5	5	69.30566	16.662	150	75.99451	18.53444	151	0			10	10157	10
11234	214	109	105	20	1	2	1	""	7	6								""			5	2	34	0	5	170								1	1	1	5	5	69.30566	16.662	150	75.99451	18.53444	151	1			10	10157	10
11235	39	21	18	9	1	1	1	"1"	1	1	19.44	79	36	28.21	63	39	30007	"çâåôÖòâ"	11	8	5	1	40	0	1	40	39	63.13	28.2	36	79.39	19.4	1	0	0	0	0	1	63.13	28.2	39	79.39	19.4	36	0			8	30007	8
11238	32	19	13	6	1	1	1	"1"	1	1	23.33	76	30	15.63	68	32	30007	"çâåôÖòâ"	11	1	5	1	32	0	1	32	32	68.09	15.6	30	75.7	23.3	1	0	0	0	0	1	68.09	15.6	32	75.7	23.3	30	0			1	30007	1
11239	71	36	35	20	2	1	1	""	2	2	20	76	65	36.36	65	66	30007	"çâåôÖòâ"	12	3	5	1	36	0	2	71	32	61.63	53.1	31	72.61	29	1	0	0	0	0	2	65.27728	36.35757	66	76.29247	20.00308	65	0			3	30007	3
11239	71	36	35	20	2	1	1	""	2	2	20	76	65	36.36	65	66	30007	"çâåôÖòâ"	12	3	5	2	35	0	2	71	34	68.71	20.6	34	79.65	11.8	1	0	0	0	0	2	65.27728	36.35757	66	76.29247	20.00308	65	0			3	30007	3
